Fecha,Fecha de Compra,Descripción,Importe
03 Jul 2025,03 Jul 2025,ANTHROPIC               SAN FRANCISCO,4792.29
03 Jul 2025,04 Jul 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,345.40
03 Jul 2025,04 Jul 2025,MERCADOPAGO*SERVTECNICO Iztapalapa,22.00
02 Jul 2025,02 Jul 2025,BILLPOCKET*CAFE V 8DF0A CUAUHTEMOC,2000.00
02 Jul 2025,02 Jul 2025,GRACIAS POR SU PAGO EN LINEA,-49900.00
02 Jul 2025,02 Jul 2025,GRACIAS POR SU PAGO EN LINEA,-49800.00
02 Jul 2025,02 Jul 2025,GRACIAS POR SU PAGO EN LINEA,-49700.00
02 Jul 2025,02 Jul 2025,GRACIAS POR SU PAGO EN LINEA,-47748.82
02 Jul 2025,03 Jul 2025,MERCADO LIBRE 2         MEXICO,1305.00
02 Jul 2025,03 Jul 2025,MERCADOPAGO*GREENRHINO  Cuauht?moc,209.00
02 Jul 2025,03 Jul 2025,REST CHORIPA            CIUDAD DE MEX,497.20
02 Jul 2025,03 Jul 2025,X CORP. PAID FEATURES   BASTROP,154.08
01 Jul 2025,01 Jul 2025,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,167.04
01 Jul 2025,02 Jul 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,251.90
01 Jul 2025,01 Jul 2025,VIVAAEROBUS VIVAAEROBUS MEXICO,12438.07
30 Jun 2025,01 Jul 2025,ALMANEGRACAFE ROMA      MEXICO,107.80
30 Jun 2025,01 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,245.09
30 Jun 2025,30 Jun 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1199.00
30 Jun 2025,30 Jun 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1335.51
30 Jun 2025,01 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,18999.00
30 Jun 2025,30 Jun 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,245.00
30 Jun 2025,30 Jun 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,14999.00
30 Jun 2025,01 Jul 2025,ATARANTADOS             CIUDAD DE MEX,416.90
30 Jun 2025,30 Jun 2025,"GITHUB, INC.            SAN FRANCISCO",270.77
29 Jun 2025,29 Jun 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,519.00
29 Jun 2025,30 Jun 2025,REST GIGI DELICATESSEN  CIUDAD DE MEX,1000.50
29 Jun 2025,30 Jun 2025,SMART FISH              MEXICO,1094.32
28 Jun 2025,29 Jun 2025,CASA D ITALIA REST      CIUDAD DE MEX,1897.50
28 Jun 2025,29 Jun 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,387.14
28 Jun 2025,29 Jun 2025,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,395.00
27 Jun 2025,27 Jun 2025,AUDIBLE*NQ7H20100       AMZN.COM/BILL,289.38
27 Jun 2025,28 Jun 2025,MERCADOPAGO*ORUJO       Cuauht?moc,506.00
27 Jun 2025,28 Jun 2025,OMX 130 ROMA            CIUDAD DE MEXIC,109.00
27 Jun 2025,29 Jun 2025,ROJO BISTROT            CIUDAD DE MEX,2015.00
27 Jun 2025,27 Jun 2025,SMART DNS PROXY         DUBLIN,931.85
27 Jun 2025,27 Jun 2025,UBER TRIP               HTTPS://HELP.UB,333.50
27 Jun 2025,27 Jun 2025,UBER TRIP               HTTPS://HELP.UB,334.23
26 Jun 2025,27 Jun 2025,ALMANEGRACAFE ROMA      MEXICO,85.80
26 Jun 2025,26 Jun 2025,AMAZON MX*AD FREE FOR P MEXICO CITY,50.00
26 Jun 2025,27 Jun 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,345.40
25 Jun 2025,26 Jun 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1649.90
25 Jun 2025,26 Jun 2025,ATARANTADOS             CIUDAD DE MEX,379.50
24 Jun 2025,24 Jun 2025,APPLE.COM/BILL          CUPERTINO,348.00
24 Jun 2025,25 Jun 2025,EL CALIFA ROMA          MEXICO,314.60
24 Jun 2025,25 Jun 2025,GOOGLE*NEST             MOUNTAIN VIEW,150.00
24 Jun 2025,25 Jun 2025,TARSNAP.COM             MAPLE RIDGE,390.80
23 Jun 2025,25 Jun 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,832.63
23 Jun 2025,23 Jun 2025,APPLE.COM/BILL          CUPERTINO,17.00
23 Jun 2025,23 Jun 2025,APPLE.COM/BILL          CUPERTINO,128.00
23 Jun 2025,23 Jun 2025,APPLE.COM/BILL          CUPERTINO,129.00
23 Jun 2025,23 Jun 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.38
23 Jun 2025,24 Jun 2025,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,159.00
23 Jun 2025,24 Jun 2025,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,200.00
23 Jun 2025,23 Jun 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,447.80
23 Jun 2025,24 Jun 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,214.50
22 Jun 2025,24 Jun 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,565.00
22 Jun 2025,23 Jun 2025,ANTHROPIC               SAN FRANCISCO,4915.68
22 Jun 2025,23 Jun 2025,FISHER'S CONDESA        CUAUHTEMOC,396.00
